activity_code,title,status,reason,activity_id,city_csv,city_resolved,country_csv,country_resolved,price_rows,cache_price,cache_price_markup,mode
TRA_57764,Tokyo Disneyland 1-Day Ticket,updated,,6a070ac50514b9b2e2559515,Tokyo,Tokyo,Japan,Japan,4,6632.09,994.81,live
TRA_57765,Tokyo DisneySea 1-Day Ticket,updated,,6a070ac60514b9b2e255951b,Tokyo,Tokyo,Japan,Japan,4,6632.09,994.81,live
TRA_57766,Universal Studios Japan 1-day Studio Pass,updated,,6a070ac60514b9b2e2559521,Osaka,Osaka,Japan,Japan,4,5656.78,848.52,live
TRA_57767,Osaka Castle Museum Ticket,updated,,6a070ac70514b9b2e2559527,Osaka,Osaka,Japan,Japan,4,682.71,102.41,live
TRA_57768,26-hour Osaka Metro Pass,updated,,6a070ac70514b9b2e255952d,Osaka,Osaka,Japan,Japan,3,585.18,87.78,live
TRA_57769,Osaka Metro & Osaka City Bus Pass · 2-day · E-ticket,updated,,6a070ac70514b9b2e2559532,Osaka,Osaka,Japan,Japan,2,975.31,146.3,live
TRA_57770,48-hour Osaka Metro Pass,updated,,6a070ac80514b9b2e2559536,Osaka,Osaka,Japan,Japan,3,975.31,146.3,live
TRA_57771,Osaka Wonder Cruise(Dotonbori Route),updated,,6a070ac80514b9b2e255953b,Osaka,Osaka,Japan,Japan,3,1072.84,160.93,live
TRA_57772,Hiroshima & Miyajima 1 Day Bus Tour With lunch With Roundtrip by Shinkasen from Osaka,updated,,6a070ac80514b9b2e2559540,Osaka,Osaka,Japan,Japan,3,22432.06,3364.81,live
TRA_57773,Tokyo Skytree Ticket(Tembo Deck & Galleria),updated,,6a070ac80514b9b2e2559545,Tokyo,Tokyo,Japan,Japan,3,2145.68,321.85,live
TRA_57774,Hakone Sightseeing Cruise(Hakonemachi to Togendai),updated,,6a070ac80514b9b2e255954a,Hakone,Hakone,Japan,Japan,3,975.31,146.3,live
TRA_57775,Hakone Komagatake Ropeway Round-Trip Ticket,updated,,6a070ac90514b9b2e255954f,Hakone,Hakone,Japan,Japan,3,1170.37,175.56,live
TRA_57776,Umeda Sky Building & Kuchu Teien Observatory Ticket in Osaka,updated,,6a070aca0514b9b2e2559554,Osaka,Osaka,Japan,Japan,3,1170.37,175.56,live
TRA_57777,Tokyo Skytree 1 Day Tour from Nishi Shinjuku LOVE statue (With Lunch),updated,,6a070acc0514b9b2e2559559,Tokyo,Tokyo,Japan,Japan,3,10435.78,1565.37,live
TRA_57778,Kyoto and Nara Day Tour(Optional upgrade to Wagyu “Kobe Beef” lunch),updated,,6a070acd0514b9b2e255955e,Osaka,Osaka,Japan,Japan,3,5266.66,790.0,live
TRA_57779,Tokyo Mt. Fuji & Hakone Full-Day Guided Tour(Return by Motorcoach),updated,,6a070acd0514b9b2e2559563,Tokyo,Tokyo,Japan,Japan,3,9850.6,1477.59,live
TRA_57780,Universal Studios Japan Express Pass,updated,,6a070acd0514b9b2e2559568,Osaka,Osaka,Japan,Japan,2,9460.48,1419.07,live
TRA_57781,Tokyo Tower Ticket,updated,,6a070ace0514b9b2e255956c,Tokyo,Tokyo,Japan,Japan,5,1853.08,277.96,live
TRA_57782,Hiroshima & Miyajima 1 Day Bus Tour(Round-Trip by Shinkansen from Osaka),updated,,6a070ace0514b9b2e2559573,Osaka,Osaka,Japan,Japan,3,22432.06,3364.81,live
TRA_57783,Kyoto Amanohashidate & Miyama Village: Includes boat cruise + cable car + crab lunch (pickup/drop-off in Osaka or Kyoto),updated,,6a070ace0514b9b2e2559578,"Osaka, Kyoto","Osaka, Kyoto",Japan,Japan,3,6729.62,1009.44,live
