transfer_code_old,transfer_code_new,package_itinerary_id,package_itinerary_title,day_index,itinerary_index,status,reason,old_module_id_found,new_title,transfer_collection,mode
TRA_56323,ATRA_57819,68dff17dec31f620f2d1d9eb,Japan's Scenic Trio,1,1,queued_replace,,TRA_56323,One way transfer from Narita Airport to Tokyo City Centre/Shinjuku Hotel,within_city_transfer,dry_run
TRA_56330,ATRA_57821,68dff17dec31f620f2d1d9eb,Japan's Scenic Trio,5,1,queued_replace,,TRA_56330,One way transfer from Kansai International Airport to Osaka City / Namba / Umeda,within_city_transfer,dry_run
TRA_56331,ATRA_57822,68dff17dec31f620f2d1d9eb,Japan's Scenic Trio,7,1,queued_replace,,TRA_56331,One way transfer from Osaka City / Namba / Umeda to Kansai International Airport,within_city_transfer,dry_run
TRA_56323,ATRA_57819,68dff17dec31f620f2d1d9ec,Japan Park Adventure,1,1,queued_replace,,TRA_56323,One way transfer from Narita Airport to Tokyo City Centre/Shinjuku Hotel,within_city_transfer,dry_run
TRA_56331,ATRA_57822,68dff17dec31f620f2d1d9ec,Japan Park Adventure,7,1,queued_replace,,TRA_56331,One way transfer from Osaka City / Namba / Umeda to Kansai International Airport,within_city_transfer,dry_run
TRA_56323,ATRA_57819,68dff17dec31f620f2d1d9ee,Japan Retail Therapy,1,1,queued_replace,,TRA_56323,One way transfer from Narita Airport to Tokyo City Centre/Shinjuku Hotel,within_city_transfer,dry_run
TRA_56330,ATRA_57821,68dff17dec31f620f2d1d9ee,Japan Retail Therapy,5,1,queued_replace,,TRA_56330,One way transfer from Kansai International Airport to Osaka City / Namba / Umeda,within_city_transfer,dry_run
TRA_56331,ATRA_57822,68dff17dec31f620f2d1d9ee,Japan Retail Therapy,7,1,queued_replace,,TRA_56331,One way transfer from Osaka City / Namba / Umeda to Kansai International Airport,within_city_transfer,dry_run
TRA_56323,ATRA_57819,68dff17dec31f620f2d1d9f0,Japan Explorer,1,1,queued_replace,,TRA_56323,One way transfer from Narita Airport to Tokyo City Centre/Shinjuku Hotel,within_city_transfer,dry_run
TRA_56331,ATRA_57822,68dff17dec31f620f2d1d9f0,Japan Explorer,9,1,queued_replace,,TRA_56331,One way transfer from Osaka City / Namba / Umeda to Kansai International Airport,within_city_transfer,dry_run
TRA_56323,ATRA_57819,68dff17dec31f620f2d1d9ef,Japan Tech Trek,1,1,queued_replace,,TRA_56323,One way transfer from Narita Airport to Tokyo City Centre/Shinjuku Hotel,within_city_transfer,dry_run
TRA_56323,ATRA_57819,68dff17dec31f620f2d1d9ef,Japan Tech Trek,4,1,queued_replace,,TRA_56323,One way transfer from Narita Airport to Tokyo City Centre/Shinjuku Hotel,within_city_transfer,dry_run
TRA_56331,ATRA_57822,68dff17dec31f620f2d1d9ef,Japan Tech Trek,8,1,queued_replace,,TRA_56331,One way transfer from Osaka City / Namba / Umeda to Kansai International Airport,within_city_transfer,dry_run
TRA_56323,ATRA_57819,68dff17dec31f620f2d1d9ea,Japan's Modern Wonders,1,1,queued_replace,,TRA_56323,One way transfer from Narita Airport to Tokyo City Centre/Shinjuku Hotel,within_city_transfer,dry_run
RAIL_56327,RAIL_56327,68dff17dec31f620f2d1d9ea,Japan's Modern Wonders,4,2,queued_replace,,RAIL_56327,Train from Tokyo to Kyoto,across_city_transfer,dry_run
RAIL_56208,RAIL_56208,68dff17dec31f620f2d1d9ea,Japan's Modern Wonders,6,2,queued_replace,,RAIL_56208,Train from Kyoto to Osaka,across_city_transfer,dry_run
TRA_56331,ATRA_57822,68dff17dec31f620f2d1d9ea,Japan's Modern Wonders,8,1,queued_replace,,TRA_56331,One way transfer from Osaka City / Namba / Umeda to Kansai International Airport,within_city_transfer,dry_run
TRA_56323,ATRA_57819,68dff17dec31f620f2d1d9ed,Ancient Japan Journey,1,1,queued_replace,,TRA_56323,One way transfer from Narita Airport to Tokyo City Centre/Shinjuku Hotel,within_city_transfer,dry_run
TRA_56330,ATRA_57821,68dff17dec31f620f2d1d9ed,Ancient Japan Journey,6,1,queued_replace,,TRA_56330,One way transfer from Kansai International Airport to Osaka City / Namba / Umeda,within_city_transfer,dry_run
TRA_56331,ATRA_57822,68dff17dec31f620f2d1d9ed,Ancient Japan Journey,8,1,queued_replace,,TRA_56331,One way transfer from Osaka City / Namba / Umeda to Kansai International Airport,within_city_transfer,dry_run
TRA_56323,ATRA_57819,68dff17dec31f620f2d1d9f1,Japan Thrills,1,1,queued_replace,,TRA_56323,One way transfer from Narita Airport to Tokyo City Centre/Shinjuku Hotel,within_city_transfer,dry_run
TRA_56331,ATRA_57822,68dff17dec31f620f2d1d9f1,Japan Thrills,8,1,queued_replace,,TRA_56331,One way transfer from Osaka City / Namba / Umeda to Kansai International Airport,within_city_transfer,dry_run
TRA_56323,ATRA_57819,68e660e06d75b94945ca5dce,A Japenese Love Story,1,1,skipped,package_itinerary not found,,,,dry_run
RAIL_56327,RAIL_56327,68e660e06d75b94945ca5dce,A Japenese Love Story,5,1,skipped,package_itinerary not found,,,,dry_run
TRA_56326,ATRA_57828,68e660e06d75b94945ca5dce,A Japenese Love Story,8,1,skipped,package_itinerary not found,,,,dry_run
TRA_56330,ATRA_57821,68e660e06d75b94945ca5ddb,Essence Of Japan,1,1,skipped,package_itinerary not found,,,,dry_run
RAIL_56210,RAIL_56210,68e660e06d75b94945ca5ddb,Essence Of Japan,5,1,skipped,package_itinerary not found,,,,dry_run
TRA_56322,ATRA_57818,68e660e06d75b94945ca5ddb,Essence Of Japan,9,1,skipped,package_itinerary not found,,,,dry_run
TRA_56323,ATRA_57819,68e660e06d75b94945ca5de4,Japan Family Quest,1,1,skipped,package_itinerary not found,,,,dry_run
RAIL_56327,RAIL_56327,68e660e06d75b94945ca5de4,Japan Family Quest,5,1,skipped,package_itinerary not found,,,,dry_run
RAIL_56208,RAIL_56208,68e660e06d75b94945ca5de4,Japan Family Quest,8,1,skipped,package_itinerary not found,,,,dry_run
TRA_56331,ATRA_57822,68e660e06d75b94945ca5de4,Japan Family Quest,11,1,skipped,package_itinerary not found,,,,dry_run
