package_name,status,reason,mode
Thrills of Bali for Two,error,object of type 'Cursor' has no len(),dry_run
Bali Funventure,error,object of type 'Cursor' has no len(),dry_run
Island Highs,error,object of type 'Cursor' has no len(),dry_run
Bali Adventure Highs,error,object of type 'Cursor' has no len(),dry_run
Beach Bliss for Two,error,object of type 'Cursor' has no len(),dry_run
Bali Beach Family Fun,error,object of type 'Cursor' has no len(),dry_run
"Sun, Surf & the Crew",error,object of type 'Cursor' has no len(),dry_run
Bali Island Escape,error,object of type 'Cursor' has no len(),dry_run
Jewels of Nusa Penida,error,object of type 'Cursor' has no len(),dry_run
Seminyak Escape,error,object of type 'Cursor' has no len(),dry_run
Kuta Family Fun,error,object of type 'Cursor' has no len(),dry_run
Urban Bali with the Crew,error,object of type 'Cursor' has no len(),dry_run
Bali City Explorer,error,object of type 'Cursor' has no len(),dry_run
Heart of Bali,error,object of type 'Cursor' has no len(),dry_run
Bali Heritage Quest,error,object of type 'Cursor' has no len(),dry_run
Tribe Culture Trek,error,object of type 'Cursor' has no len(),dry_run
Bali Cultural Discovery,error,object of type 'Cursor' has no len(),dry_run
Grandeur of Bali,error,object of type 'Cursor' has no len(),dry_run
Bali Premium Family Retreat,error,object of type 'Cursor' has no len(),dry_run
The Curated Bali Experience,error,object of type 'Cursor' has no len(),dry_run
Bespoke Bali Retreat,error,object of type 'Cursor' has no len(),dry_run
Highland Love Escape,error,object of type 'Cursor' has no len(),dry_run
Bali Highland Family Adventure,error,object of type 'Cursor' has no len(),dry_run
Summit Seekers,error,object of type 'Cursor' has no len(),dry_run
Volcanic Trails,error,object of type 'Cursor' has no len(),dry_run
Dazzling Bali Nights,error,object of type 'Cursor' has no len(),dry_run
Bali Night Lights,error,object of type 'Cursor' has no len(),dry_run
Island Beats,error,object of type 'Cursor' has no len(),dry_run
Bali After Dark,error,object of type 'Cursor' has no len(),dry_run
A Balinese Love Story,error,object of type 'Cursor' has no len(),dry_run
Paradise for Two,error,object of type 'Cursor' has no len(),dry_run
Bali Love Escape,error,object of type 'Cursor' has no len(),dry_run
Tropical Love Escape,error,object of type 'Cursor' has no len(),dry_run
Seminyak Style Escape,error,object of type 'Cursor' has no len(),dry_run
Bali Family Spree,error,object of type 'Cursor' has no len(),dry_run
Retail Therapy in Bali,error,object of type 'Cursor' has no len(),dry_run
Bali Shopper's Dream,error,object of type 'Cursor' has no len(),dry_run
Bliss in Bali,error,object of type 'Cursor' has no len(),dry_run
Bali Family Unwind,error,object of type 'Cursor' has no len(),dry_run
Chill & Thrill in Bali,error,object of type 'Cursor' has no len(),dry_run
Bali Serenity,error,object of type 'Cursor' has no len(),dry_run
Ancient Temples for Two,error,object of type 'Cursor' has no len(),dry_run
Balinese Heritage Journey,error,object of type 'Cursor' has no len(),dry_run
Explorers of Ancient Bali,error,object of type 'Cursor' has no len(),dry_run
Bali Heritage Discovery,error,object of type 'Cursor' has no len(),dry_run
Flavours of Bali,error,object of type 'Cursor' has no len(),dry_run
Bali Culinary Family Adventure,error,object of type 'Cursor' has no len(),dry_run
Foodie Tribe,error,object of type 'Cursor' has no len(),dry_run
Bali Culinary Journey,error,object of type 'Cursor' has no len(),dry_run
Tropical Nature Escape,error,object of type 'Cursor' has no len(),dry_run
Bali Nature Quest,error,object of type 'Cursor' has no len(),dry_run
Into the Wild with the Crew,error,object of type 'Cursor' has no len(),dry_run
Into the Wild,error,object of type 'Cursor' has no len(),dry_run
Wildlife Wonders of Bali,error,object of type 'Cursor' has no len(),dry_run
Bali Wild Kingdom,error,object of type 'Cursor' has no len(),dry_run
Tribe Safari,error,object of type 'Cursor' has no len(),dry_run
Bali Wildlife Explorer,error,object of type 'Cursor' has no len(),dry_run
Sacred Bali,error,object of type 'Cursor' has no len(),dry_run
Temples of Bali,error,object of type 'Cursor' has no len(),dry_run
Spiritual Seekers,error,object of type 'Cursor' has no len(),dry_run
Inner Peace in Bali,error,object of type 'Cursor' has no len(),dry_run
Cool Highlands of Bali,error,object of type 'Cursor' has no len(),dry_run
Bali Highland Discovery,error,object of type 'Cursor' has no len(),dry_run
Highland Trek with the Crew,error,object of type 'Cursor' has no len(),dry_run
Bali Highland Escape,error,object of type 'Cursor' has no len(),dry_run
Bali Drive & Romance,error,object of type 'Cursor' has no len(),dry_run
Bali Self-Drive Family Explorer,error,object of type 'Cursor' has no len(),dry_run
Road Cruise with the Crew,error,object of type 'Cursor' has no len(),dry_run
Bali Wanderer,error,object of type 'Cursor' has no len(),dry_run
Volcanic Escape for Two,error,object of type 'Cursor' has no len(),dry_run
Volcanic Bali Family Discovery,error,object of type 'Cursor' has no len(),dry_run
Rugged Bali with the Crew,error,object of type 'Cursor' has no len(),dry_run
Volcanic Bali Explorer,error,object of type 'Cursor' has no len(),dry_run
Bali Road Romance,error,object of type 'Cursor' has no len(),dry_run
Epic Bali Family Road Trip,error,object of type 'Cursor' has no len(),dry_run
Cross-Island Adventure,error,object of type 'Cursor' has no len(),dry_run
Bali Road Diaries,error,object of type 'Cursor' has no len(),dry_run
Best of Bali for Two,error,object of type 'Cursor' has no len(),dry_run
Best of Bali with Family,error,object of type 'Cursor' has no len(),dry_run
Best of Bali with the Crew,error,object of type 'Cursor' has no len(),dry_run
Best of Bali,error,object of type 'Cursor' has no len(),dry_run
Essence of Bali,error,object of type 'Cursor' has no len(),dry_run
