activity_code_old,activity_code_new,match_type,package_itinerary_id,package_itinerary_slug,package_itinerary_title,day_index,itinerary_index,status,reason,old_module_id_found,new_title,new_activity_id,mode
E-E10-A1MANO0353,TRA_57764,Similar,68dff17dec31f620f2d1d9ec,japan-park-adventure,Japan Park Adventure,2,1,skipped,new activity TRA_57764 not found in activity collection,E-E10-A1MANO0353,,,dry_run
E-E10-A1MANO0356,TRA_57765,Similar,68dff17dec31f620f2d1d9ec,japan-park-adventure,Japan Park Adventure,3,1,skipped,new activity TRA_57765 not found in activity collection,E-E10-A1MANO0356,,,dry_run
E-E10-25NASC0015,RAIL_56329,Exact Match,68dff17dec31f620f2d1d9ec,japan-park-adventure,Japan Park Adventure,4,2,skipped,new activity RAIL_56329 not found in activity collection,E-E10-25NASC0015,,,dry_run
E-E10-25NASC0034,496607,Similar,68dff17dec31f620f2d1d9ec,japan-park-adventure,Japan Park Adventure,4,3,skipped,new activity 496607 not found in activity collection,E-E10-25NASC0034,,,dry_run
E-E10-A1MLNO1851,T5,Exact Match,68dff17dec31f620f2d1d9ec,japan-park-adventure,Japan Park Adventure,5,1,skipped,new activity T5 not found in activity collection,E-E10-A1MLNO1851,,,dry_run
E-E10-25JERC0017,TRA_57801,New Activity,68dff17dec31f620f2d1d9ed,ancient-japan-journey,Ancient Japan Journey,2,1,skipped,new activity TRA_57801 not found in activity collection,E-E10-25JERC0017,,,dry_run
E-E10-JP-NRTJ18,TRA_57779,Exact Match,68dff17dec31f620f2d1d9ed,ancient-japan-journey,Ancient Japan Journey,3,1,skipped,new activity TRA_57779 not found in activity collection,E-E10-JP-NRTJ18,,,dry_run
E-E10-25NASC0012,RAIL_56327,Exact Match,68dff17dec31f620f2d1d9ed,ancient-japan-journey,Ancient Japan Journey,4,2,skipped,new activity RAIL_56327 not found in activity collection,E-E10-25NASC0012,,,dry_run
E-E10-JP-KIXJ10,TRA_57783,New Activity,68dff17dec31f620f2d1d9ed,ancient-japan-journey,Ancient Japan Journey,4,3,skipped,new activity TRA_57783 not found in activity collection,E-E10-JP-KIXJ10,,,dry_run
E-E10-A1MLNO1763,TRA_57809,New Activity,68dff17dec31f620f2d1d9ed,ancient-japan-journey,Ancient Japan Journey,5,1,skipped,new activity TRA_57809 not found in activity collection,E-E10-A1MLNO1763,,,dry_run
E-E10-25NASC0034,496607,Similar,68dff17dec31f620f2d1d9ed,ancient-japan-journey,Ancient Japan Journey,6,3,skipped,new activity 496607 not found in activity collection,E-E10-25NASC0034,,,dry_run
E-E10-JP-KIXJ11,489377,Similar,68e660e06d75b94945ca5ddb,essence-of-japan,Essence Of Japan,3,1,skipped,new activity 489377 not found in activity collection,E-E10-JP-KIXJ11,,,dry_run
E-E10-A1NSNO0788,320011,New Activity,68e660e06d75b94945ca5ddb,essence-of-japan,Essence Of Japan,3,2,skipped,new activity 320011 not found in activity collection,E-E10-A1NSNO0788,,,dry_run
E-E10-A1NSNO0810,546327,Similar,68e660e06d75b94945ca5ddb,essence-of-japan,Essence Of Japan,4,1,skipped,new activity 546327 not found in activity collection,E-E10-A1NSNO0810,,,dry_run
E-E10-JP-NRTJ18,TRA_57779,Exact Match,68e660e06d75b94945ca5ddb,essence-of-japan,Essence Of Japan,7,1,skipped,new activity TRA_57779 not found in activity collection,E-E10-JP-NRTJ18,,,dry_run
