activity_code_old,activity_code_new,match_type,package_itinerary_id,package_itinerary_slug,package_itinerary_title,day_index,itinerary_index,status,reason,old_module_id_found,new_title,new_activity_id,mode
E-E10-A9VWNO0190,TRA_57774,New Activity,68dff17dec31f620f2d1d9f0,japan-explorer,Japan Explorer,2,1,queued_replace_old_code,,E-E10-A9VWNO0190,Hakone Sightseeing Cruise(Hakonemachi to Togendai),6a070756a8e4f244898411d2,dry_run
E-E10-A9VWNO0189,TRA_57809,Exact Match,68dff17dec31f620f2d1d9f0,japan-explorer,Japan Explorer,4,1,queued_replace_old_code,,E-E10-A9VWNO0189,Nikko Toshogu Shrine & Kegon Waterfall One Day Tour from Tokyo(Depart from Shinjuku),6a07075da8e4f24489841257,dry_run
E-E10-25NASC0015,RAIL_56329,Exact Match,68dff17dec31f620f2d1d9f0,japan-explorer,Japan Explorer,5,2,skipped,new activity RAIL_56329 not found in activity collection,E-E10-25NASC0015,,,dry_run
E-E10-A1NSNO0898,546327,Exact Match,68dff17dec31f620f2d1d9f0,japan-explorer,Japan Explorer,6,1,queued_replace_old_code,,E-E10-A1NSNO0898,Osaka Car Rental with Driver to Kyoto/Kobe/Nara/Osaka,6a1597c689b19804ccc46677,dry_run
E-E10-A1MANO0354,TRA_57766,Exact Match,68dff17dec31f620f2d1d9f0,japan-explorer,Japan Explorer,7,1,queued_replace_old_code,,E-E10-A1MANO0354,Universal Studios Japan 1-day Studio Pass,6a070755a8e4f244898411a9,dry_run
E-E10-25NASC0011,R1,Exact Match,68dff17dec31f620f2d1d9ef,japan-tech-trek,Japan Tech Trek,3,2,skipped,new activity R1 not found in activity collection,E-E10-25NASC0011,,,dry_run
E-E10-A1MANO0353,TRA_57764,Similar,68dff17dec31f620f2d1d9ef,japan-tech-trek,Japan Tech Trek,5,1,queued_replace_old_code,,E-E10-A1MANO0353,Tokyo Disneyland 1-Day Ticket,6a070754a8e4f2448984119d,dry_run
E-E10-25NASC0015,RAIL_56329,Exact Match,68dff17dec31f620f2d1d9ef,japan-tech-trek,Japan Tech Trek,6,2,skipped,new activity RAIL_56329 not found in activity collection,E-E10-25NASC0015,,,dry_run
E-E10-A1NSNO0898,546327,Exact Match,68dff17dec31f620f2d1d9ef,japan-tech-trek,Japan Tech Trek,7,1,queued_replace_old_code,,E-E10-A1NSNO0898,Osaka Car Rental with Driver to Kyoto/Kobe/Nara/Osaka,6a1597c689b19804ccc46677,dry_run
E-E10-A1NSNO0826,TRA_57773,New Activity,68dff17dec31f620f2d1d9ee,japan-retail-therapy,Japan Retail Therapy,1,3,queued_replace_old_code,,E-E10-A1NSNO0826,Tokyo Skytree Ticket(Tembo Deck & Galleria),6a070756a8e4f244898411cd,dry_run
E-E10-25JERC0014,TRA_57786,New Activity,68dff17dec31f620f2d1d9ee,japan-retail-therapy,Japan Retail Therapy,2,1,queued_replace_old_code,,E-E10-25JERC0014,"Tokyo City, Private Customized Day Trip with English-speaking Driver",6a070759a8e4f2448984120f,dry_run
E-E10-25NASC0012,RAIL_56327,Exact Match,68dff17dec31f620f2d1d9ee,japan-retail-therapy,Japan Retail Therapy,3,2,skipped,new activity RAIL_56327 not found in activity collection,E-E10-25NASC0012,,,dry_run
E-E10-JP-KIXJ9,TRA_57829,Similar,68dff17dec31f620f2d1d9ee,japan-retail-therapy,Japan Retail Therapy,3,3,queued_replace_old_code,,E-E10-JP-KIXJ9,Depart from Kyoto: 1-day Tour Around Kyoto City (Customizable Itinerary),6a070760a8e4f2448984127d,dry_run
E-E10-JP-KIXJ11,489377,Similar,68dff17dec31f620f2d1d9ee,japan-retail-therapy,Japan Retail Therapy,4,1,queued_replace_old_code,,E-E10-JP-KIXJ11,Nara Charter Car Customizable 1-Day Trip (from Kyoto),6a1597c189b19804ccc46653,dry_run
E-E10-A1NSNO0788,320011,New Activity,68dff17dec31f620f2d1d9ee,japan-retail-therapy,Japan Retail Therapy,4,2,queued_replace_old_code,,E-E10-A1NSNO0788,Kyoto Private One Day Tour with Hotel Pick-up from Osaka/Kyoto/Kobe,6a159a244891128cc495b5f7,dry_run
E-E10-A1MLNO1758,496607,Exact Match,68dff17dec31f620f2d1d9ee,japan-retail-therapy,Japan Retail Therapy,5,3,queued_replace_old_code,,E-E10-A1MLNO1758,Osaka Castle 3 hours Historical Walking Tour,6a1597d789b19804ccc466fe,dry_run
E-E10-25JERC0010,511045,Exact Match,68dff17dec31f620f2d1d9ee,japan-retail-therapy,Japan Retail Therapy,6,1,queued_replace_old_code,,E-E10-25JERC0010,Osaka: Guided Food Tour with 12 Dishes at 4 Local Eateries,6a1597d289b19804ccc466d7,dry_run
E-E10-25NASC0015,RAIL_56329,Exact Match,68dff17dec31f620f2d1d9f1,japan-thrills,Japan Thrills,5,2,skipped,new activity RAIL_56329 not found in activity collection,E-E10-25NASC0015,,,dry_run
E-E10-A1MLNO1851,T5,Exact Match,68dff17dec31f620f2d1d9f1,japan-thrills,Japan Thrills,6,1,skipped,new activity T5 not found in activity collection,E-E10-A1MLNO1851,,,dry_run
E-E10-A1NSNO0898,546327,Exact Match,68dff17dec31f620f2d1d9f1,japan-thrills,Japan Thrills,7,1,queued_replace_old_code,,E-E10-A1NSNO0898,Osaka Car Rental with Driver to Kyoto/Kobe/Nara/Osaka,6a1597c689b19804ccc46677,dry_run
E-E10-JP-NRTJ18,TRA_57779,Exact Match,68dff17dec31f620f2d1d9eb,japans-scenic-trio,Japan's Scenic Trio,2,1,queued_replace_old_code,,E-E10-JP-NRTJ18,Tokyo Mt. Fuji & Hakone Full-Day Guided Tour(Return by Motorcoach),6a070757a8e4f244898411eb,dry_run
E-E10-25NASC0034,496607,Similar,68dff17dec31f620f2d1d9eb,japans-scenic-trio,Japan's Scenic Trio,5,3,queued_replace_old_code,,E-E10-25NASC0034,Osaka Castle 3 hours Historical Walking Tour,6a1597d789b19804ccc466fe,dry_run
E-E10-A1NSNO0896,TRA_57808,New Activity,68dff17dec31f620f2d1d9eb,japans-scenic-trio,Japan's Scenic Trio,6,1,queued_replace_old_code,,E-E10-A1NSNO0896,Osaka Dotonbori Naniwa Sightseeing Boat,6a07075da8e4f24489841252,dry_run
E-E10-JP-NRTJ18,TRA_57779,Exact Match,68dff17dec31f620f2d1d9ea,japans-modern-wonders,Japan's Modern Wonders,2,1,queued_replace_old_code,,E-E10-JP-NRTJ18,Tokyo Mt. Fuji & Hakone Full-Day Guided Tour(Return by Motorcoach),6a070757a8e4f244898411eb,dry_run
E-E10-25NASC0031,TRA_57793,Similar,68dff17dec31f620f2d1d9ea,japans-modern-wonders,Japan's Modern Wonders,3,1,queued_replace_old_code,,E-E10-25NASC0031,Hop-On Hop-Off Tokyo Bus by Skyhop Bus,6a07075aa8e4f2448984121f,dry_run
E-E10-A1NSNO0788,320011,New Activity,68dff17dec31f620f2d1d9ea,japans-modern-wonders,Japan's Modern Wonders,4,3,queued_replace_old_code,,E-E10-A1NSNO0788,Kyoto Private One Day Tour with Hotel Pick-up from Osaka/Kyoto/Kobe,6a159a244891128cc495b5f7,dry_run
E-E10-A1MANO0354,TRA_57766,Exact Match,68dff17dec31f620f2d1d9ea,japans-modern-wonders,Japan's Modern Wonders,7,1,queued_replace_old_code,,E-E10-A1MANO0354,Universal Studios Japan 1-day Studio Pass,6a070755a8e4f244898411a9,dry_run
E-E10-A1MLNO1851,T5,Exact Match,68dff17dec31f620f2d1d9ea,japans-modern-wonders,Japan's Modern Wonders,7,2,skipped,new activity T5 not found in activity collection,E-E10-A1MLNO1851,,,dry_run
E-E10-A1NSNO0865,A1,Similar,68dff17dec31f620f2d1d9ec,japan-park-adventure,Japan Park Adventure,1,3,queued_replace_old_code,,E-E10-A1NSNO0865,TeamLab Planets TOKYO Ticket,6a1597bd89b19804ccc46614,dry_run
E-E10-A1MANO0353,TRA_57764,Similar,68dff17dec31f620f2d1d9ec,japan-park-adventure,Japan Park Adventure,2,1,queued_replace_old_code,,E-E10-A1MANO0353,Tokyo Disneyland 1-Day Ticket,6a070754a8e4f2448984119d,dry_run
E-E10-A1MANO0356,TRA_57765,Similar,68dff17dec31f620f2d1d9ec,japan-park-adventure,Japan Park Adventure,3,1,queued_replace_old_code,,E-E10-A1MANO0356,Tokyo DisneySea 1-Day Ticket,6a070755a8e4f244898411a3,dry_run
E-E10-25NASC0015,RAIL_56329,Exact Match,68dff17dec31f620f2d1d9ec,japan-park-adventure,Japan Park Adventure,4,2,skipped,new activity RAIL_56329 not found in activity collection,E-E10-25NASC0015,,,dry_run
