transfer_code_old,transfer_code_new,package_itinerary_slug,package_itinerary_id,package_itinerary_title,day_index,itinerary_index,status,reason,old_module_id_found,new_title,transfer_collection,mode
TRA_56323,ATRA_57819,japans-scenic-trio,68dff17dec31f620f2d1d9eb,Japan's Scenic Trio,1,1,replaced,,TRA_56323,One way transfer from Narita Airport to Tokyo City Centre/Shinjuku Hotel,within_city_transfer,live
TRA_56330,ATRA_57821,japans-scenic-trio,68dff17dec31f620f2d1d9eb,Japan's Scenic Trio,5,1,replaced,,TRA_56330,One way transfer from Kansai International Airport to Osaka City / Namba / Umeda,within_city_transfer,live
TRA_56331,ATRA_57822,japans-scenic-trio,68dff17dec31f620f2d1d9eb,Japan's Scenic Trio,7,1,replaced,,TRA_56331,One way transfer from Osaka City / Namba / Umeda to Kansai International Airport,within_city_transfer,live
TRA_56323,ATRA_57819,japan-park-adventure,68dff17dec31f620f2d1d9ec,Japan Park Adventure,1,1,replaced,,TRA_56323,One way transfer from Narita Airport to Tokyo City Centre/Shinjuku Hotel,within_city_transfer,live
TRA_56331,ATRA_57822,japan-park-adventure,68dff17dec31f620f2d1d9ec,Japan Park Adventure,7,1,replaced,,TRA_56331,One way transfer from Osaka City / Namba / Umeda to Kansai International Airport,within_city_transfer,live
TRA_56323,ATRA_57819,japan-retail-therapy,68dff17dec31f620f2d1d9ee,Japan Retail Therapy,1,1,replaced,,TRA_56323,One way transfer from Narita Airport to Tokyo City Centre/Shinjuku Hotel,within_city_transfer,live
TRA_56330,ATRA_57821,japan-retail-therapy,68dff17dec31f620f2d1d9ee,Japan Retail Therapy,5,1,replaced,,TRA_56330,One way transfer from Kansai International Airport to Osaka City / Namba / Umeda,within_city_transfer,live
TRA_56331,ATRA_57822,japan-retail-therapy,68dff17dec31f620f2d1d9ee,Japan Retail Therapy,7,1,replaced,,TRA_56331,One way transfer from Osaka City / Namba / Umeda to Kansai International Airport,within_city_transfer,live
TRA_56323,ATRA_57819,japan-explorer,68dff17dec31f620f2d1d9f0,Japan Explorer,1,1,replaced,,TRA_56323,One way transfer from Narita Airport to Tokyo City Centre/Shinjuku Hotel,within_city_transfer,live
TRA_56331,ATRA_57822,japan-explorer,68dff17dec31f620f2d1d9f0,Japan Explorer,9,1,replaced,,TRA_56331,One way transfer from Osaka City / Namba / Umeda to Kansai International Airport,within_city_transfer,live
TRA_56323,ATRA_57819,japan-tech-trek,68dff17dec31f620f2d1d9ef,Japan Tech Trek,1,1,replaced,,TRA_56323,One way transfer from Narita Airport to Tokyo City Centre/Shinjuku Hotel,within_city_transfer,live
TRA_56323,ATRA_57819,japan-tech-trek,68dff17dec31f620f2d1d9ef,Japan Tech Trek,4,1,replaced,,TRA_56323,One way transfer from Narita Airport to Tokyo City Centre/Shinjuku Hotel,within_city_transfer,live
TRA_56331,ATRA_57822,japan-tech-trek,68dff17dec31f620f2d1d9ef,Japan Tech Trek,8,1,replaced,,TRA_56331,One way transfer from Osaka City / Namba / Umeda to Kansai International Airport,within_city_transfer,live
TRA_56323,ATRA_57819,japans-modern-wonders,68dff17dec31f620f2d1d9ea,Japan's Modern Wonders,1,1,replaced,,TRA_56323,One way transfer from Narita Airport to Tokyo City Centre/Shinjuku Hotel,within_city_transfer,live
RAIL_56327,RAIL_56327,japans-modern-wonders,68dff17dec31f620f2d1d9ea,Japan's Modern Wonders,4,2,replaced,,RAIL_56327,Train from Tokyo to Kyoto,across_city_transfer,live
RAIL_56208,RAIL_56208,japans-modern-wonders,68dff17dec31f620f2d1d9ea,Japan's Modern Wonders,6,2,replaced,,RAIL_56208,Train from Kyoto to Osaka,across_city_transfer,live
TRA_56331,ATRA_57822,japans-modern-wonders,68dff17dec31f620f2d1d9ea,Japan's Modern Wonders,8,1,replaced,,TRA_56331,One way transfer from Osaka City / Namba / Umeda to Kansai International Airport,within_city_transfer,live
TRA_56323,ATRA_57819,ancient-japan-journey,68dff17dec31f620f2d1d9ed,Ancient Japan Journey,1,1,replaced,,TRA_56323,One way transfer from Narita Airport to Tokyo City Centre/Shinjuku Hotel,within_city_transfer,live
TRA_56330,ATRA_57821,ancient-japan-journey,68dff17dec31f620f2d1d9ed,Ancient Japan Journey,6,1,replaced,,TRA_56330,One way transfer from Kansai International Airport to Osaka City / Namba / Umeda,within_city_transfer,live
TRA_56331,ATRA_57822,ancient-japan-journey,68dff17dec31f620f2d1d9ed,Ancient Japan Journey,8,1,replaced,,TRA_56331,One way transfer from Osaka City / Namba / Umeda to Kansai International Airport,within_city_transfer,live
TRA_56323,ATRA_57819,japan-thrills,68dff17dec31f620f2d1d9f1,Japan Thrills,1,1,replaced,,TRA_56323,One way transfer from Narita Airport to Tokyo City Centre/Shinjuku Hotel,within_city_transfer,live
TRA_56331,ATRA_57822,japan-thrills,68dff17dec31f620f2d1d9f1,Japan Thrills,8,1,replaced,,TRA_56331,One way transfer from Osaka City / Namba / Umeda to Kansai International Airport,within_city_transfer,live
TRA_56323,ATRA_57819,a-japenese-love-story,,A Japenese Love Story,1,1,skipped,package_itinerary not found for slug='a-japenese-love-story' (title='A Japenese Love Story'),,,,live
RAIL_56327,RAIL_56327,a-japenese-love-story,,A Japenese Love Story,5,1,skipped,package_itinerary not found for slug='a-japenese-love-story' (title='A Japenese Love Story'),,,,live
TRA_56326,ATRA_57828,a-japenese-love-story,,A Japenese Love Story,8,1,skipped,package_itinerary not found for slug='a-japenese-love-story' (title='A Japenese Love Story'),,,,live
TRA_56330,ATRA_57821,essence-of-japan,,Essence Of Japan,1,1,skipped,package_itinerary not found for slug='essence-of-japan' (title='Essence Of Japan'),,,,live
