package_name,status,reason,mode
Thrills of Bali for Two,error,PackageMigrate.build_hotel_item() takes 1 positional argument but 2 were given,dry_run
Bali Funventure,error,PackageMigrate.build_hotel_item() takes 1 positional argument but 2 were given,dry_run
Island Highs,error,PackageMigrate.build_hotel_item() takes 1 positional argument but 2 were given,dry_run
Bali Adventure Highs,error,PackageMigrate.build_hotel_item() takes 1 positional argument but 2 were given,dry_run
Beach Bliss for Two,error,PackageMigrate.build_hotel_item() takes 1 positional argument but 2 were given,dry_run
Bali Beach Family Fun,error,PackageMigrate.build_hotel_item() takes 1 positional argument but 2 were given,dry_run
"Sun, Surf & the Crew",error,PackageMigrate.build_hotel_item() takes 1 positional argument but 2 were given,dry_run
Bali Island Escape,error,PackageMigrate.build_hotel_item() takes 1 positional argument but 2 were given,dry_run
Jewels of Nusa Penida,error,PackageMigrate.build_hotel_item() takes 1 positional argument but 2 were given,dry_run
Seminyak Escape,error,PackageMigrate.build_hotel_item() takes 1 positional argument but 2 were given,dry_run
Kuta Family Fun,error,PackageMigrate.build_hotel_item() takes 1 positional argument but 2 were given,dry_run
Urban Bali with the Crew,error,PackageMigrate.build_hotel_item() takes 1 positional argument but 2 were given,dry_run
Bali City Explorer,error,PackageMigrate.build_hotel_item() takes 1 positional argument but 2 were given,dry_run
Heart of Bali,error,PackageMigrate.build_hotel_item() takes 1 positional argument but 2 were given,dry_run
Bali Heritage Quest,error,PackageMigrate.build_hotel_item() takes 1 positional argument but 2 were given,dry_run
Tribe Culture Trek,error,PackageMigrate.build_hotel_item() takes 1 positional argument but 2 were given,dry_run
Bali Cultural Discovery,error,PackageMigrate.build_hotel_item() takes 1 positional argument but 2 were given,dry_run
Grandeur of Bali,error,PackageMigrate.build_hotel_item() takes 1 positional argument but 2 were given,dry_run
Bali Premium Family Retreat,error,PackageMigrate.build_hotel_item() takes 1 positional argument but 2 were given,dry_run
The Curated Bali Experience,error,PackageMigrate.build_hotel_item() takes 1 positional argument but 2 were given,dry_run
Bespoke Bali Retreat,error,PackageMigrate.build_hotel_item() takes 1 positional argument but 2 were given,dry_run
