activity_code,activity_id,title,price_count,image_count,status,reason,mode
E-E10-25NASI0075,68caf51e38bc2f92a80ba0ae,Osaka’s Soul: Tennoji Temples and Shinsekai Streets,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-25SYLI0021,68caf51e38bc2f92a80ba098,Osaka Delights: Traditional Japanese Food Tour,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-25NASC0085,68caf51e38bc2f92a80ba0b1,Explore Geisha District - Private Walking Tour,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-25NASC0086,68caf51e38bc2f92a80ba0b2,Kyoto Highlights - Full-Day Tour ,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-25SYLI0016,68caf51e38bc2f92a80ba093,"Nikko, the Beauty of Kegon Waterfall and Chuzenji Lake - Full-Day Tour",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-25NASC0011,68caf51e38bc2f92a80ba095,Bullet Train from Tokyo to Nagoya - One-Way Ticket ,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-25NASC0012,68caf51e38bc2f92a80ba09a,Bullet Train from Tokyo to Kyoto - One-Way Ticket,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-25NASI0072,68caf51e38bc2f92a80ba0ab,Arashiyama Walking Tour with Optional Sagano Romantic Train Ride,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-25NASC0049,68caf51e38bc2f92a80ba0a7,Nikko World Heritage Day Tour from Tokyo with Scenic Limited Express Rail,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-25NASC0080,68caf51e38bc2f92a80ba0b5,Explore Japan's 1st Historical Capital - Small Group Walking Tour,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-25NASC0079,68caf51e38bc2f92a80ba0b4,Cycling Through Nara's Hidden Gems,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0MANO0221,68caf51e38bc2f92a80ba24f,"Sagano Romantic Train & Arashiyama Kiyomizudera, Fushimi Inari Taisha Day Tour",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0MANO0223,68caf51e38bc2f92a80ba251,"Sagano Romantic Train & Arashiyama Kiyomizudera, Fushimi Inari Taisha Day Tour",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0MANO0225,68caf51e38bc2f92a80ba252,"Meet Maiko in Gion, Fushimi Inari, Arashiyama (Chanko nabe)",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0MANO0222,68caf51e38bc2f92a80ba250,"Sagano Romantic Train & Arashiyama Kiyomizudera, Fushimi Inari Taisha Day Tour with Vegetarian Lunch",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0266,68caf51f38bc2f92a80ba38f,"Fushimi, Kiyomizu, Kinkakuji, Arashiyama (Halal) from Osaka Namba",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0302,68caf51f38bc2f92a80ba3ab,"Arashiyama3H, Nara, KobeMOSAIC(Buffet) from Osaka Umeda",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0485,68caf51f38bc2f92a80ba3e1,Classic Tsukiji Breakfast Food Tour,0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
E-E10-A0VWNO0264,68caf51f38bc2f92a80ba38e,"Fushimi, Kiyomizu, Kinkakuji, Arashiyama(Japanese-style) from Osaka Umeda",0,1,deleted,"japan activity, cms activityCode not in static sheet (227 allowed)",live
