Activity ID,currency,min_threshold,max_threshold,price_per_person,price_per_vehicle,slab_type,vehicle_type
297221,USD,6,11,168.1595745,,ticket,none
297236,USD,12,99,529.9893617,,ticket,none
297236,USD,6,11,269.0531915,,ticket,none
297244,USD,12,99,672.6276596,,ticket,none
297244,USD,6,11,336.3085106,,ticket,none
297249,USD,12,99,470.5212766,,ticket,none
297249,USD,6,11,235.4148936,,ticket,none
297252,USD,12,99,739.893617,,ticket,none
297252,USD,6,11,369.9468085,,ticket,none
297258,USD,12,99,941.6808511,,ticket,none
297258,USD,6,11,470.8404255,,ticket,none
315270,USD,12,99,121.712766,,ticket,none
315270,USD,4,11,89.68085106,,ticket,none
315280,USD,12,99,128.1170213,,ticket,none
315280,USD,4,11,96.08510638,,ticket,none
317635,USD,1,3,,520.4893617,group,none
317635,USD,4,6,,1040.978723,group,none
317635,USD,7,9,,1561.468085,group,none
320011,USD,1,3,,520.4893617,group,none
320011,USD,4,6,,1040.978723,group,none
320011,USD,7,9,,1561.468085,group,none
326647,USD,16,99,17.29787234,,ticket,none
326647,USD,7,15,8.968085106,,ticket,none
326647,USD,3,6,4.489361702,,ticket,none
329465,USD,3,99,56.37234043,,ticket,none
358062V1,USD,1,9,,63.09574468,transfer,none
358062V2,USD,1,9,,98.39361702,transfer,none
358062V3,USD,1,9,,175.5212766,transfer,none
358062V4,USD,1,9,,140.287234,transfer,none
372146,USD,3,14,37.0212766,,ticket,none
372146,USD,0,2,0,,ticket,none
372146,USD,15,99,44.71276596,,ticket,none
383048,USD,15,99,66.4893617,,ticket,none
383048,USD,3,14,56.88297872,,ticket,none
383048,USD,0,2,0,,ticket,none
394053,USD,13,99,158.5531915,,ticket,none
394053,USD,6,12,88.08510638,,ticket,none
394053,USD,0,5,0,,ticket,none
394056,USD,13,99,134.2021277,,ticket,none
394056,USD,6,12,82.95744681,,ticket,none
394056,USD,0,5,0,,ticket,none
394061,USD,13,99,134.2021277,,ticket,none
394061,USD,6,12,82.95744681,,ticket,none
394061,USD,0,5,0,,ticket,none
394064,USD,15,99,87.67021277,,ticket,none
394064,USD,6,14,77.45744681,,ticket,none
394064,USD,0,6,0,,ticket,none
433254,USD,3,99,54.64893617,,ticket,none
444913,USD,15,99,7.042553191,,ticket,none
444913,USD,7,14,3.840425532,,ticket,none
448691,USD,3,99,49.96808511,,ticket,none
464668,USD,3,99,15.37234043,,ticket,none
464669,USD,3,99,19.21276596,,ticket,none
464670,USD,20,99,33.30851064,,ticket,none
467911,USD,3,99,45.4893617,,ticket,none
467912,USD,3,99,58.85106383,,ticket,none
478317,USD,0,68,50.34042553,,ticket,none
489377,USD,1,6,,512.4787234,transfer,none
496606,USD,2,99,27.77659574,,ticket,none
496607,USD,6,6,,229.9787234,transfer,none
496607,USD,1,1,,175.8297872,transfer,none
496607,USD,7,9,,298.2446809,transfer,none
496607,USD,3,3,,196.8510638,transfer,none
496607,USD,5,5,,211.1170213,transfer,none
496607,USD,2,2,,192.2978723,transfer,none
496607,USD,4,4,,202.6808511,transfer,none
500265,USD,0,99,51.89361702,,ticket,none
500266,USD,0,99,51.89361702,,ticket,none
505144,USD,3,99,51.24468085,,ticket,none
508827,USD,6,11,45.63829787,,ticket,none
508827,USD,12,99,51.72340426,,ticket,none
508970,USD,12,99,75.59574468,,ticket,none
508970,USD,6,11,69.18085106,,ticket,none
509196,USD,12,99,64.70212766,,ticket,none
509196,USD,6,11,58.29787234,,ticket,none
509209,USD,12,99,100.2553191,,ticket,none
509209,USD,6,11,93.85106383,,ticket,none
511045,USD,20,99,76.68085106,,ticket,none
511045,USD,6,19,66.94680851,,ticket,none
511045,USD,0,5,0,,ticket,none
513225,USD,13,99,77.78723404,,ticket,none
513225,USD,3,12,77.78723404,,ticket,none
513225,USD,0,2,0,,ticket,none
517147,USD,0,99,47.46808511,,ticket,none
533587,USD,1,6,,226.0957447,transfer,none
537786,USD,1,6,,406.9680851,transfer,none
537789,USD,1,6,,444.6489362,transfer,none
537792,USD,1,6,,331.606383,transfer,none
537794,USD,1,6,,542.6276596,transfer,none
537798,USD,1,6,,489.8723404,transfer,none
537806,USD,1,6,,452.1914894,transfer,none
537815,USD,1,9,,489.8723404,transfer,none
537819,USD,1,9,,538.8510638,transfer,none
537825,USD,1,9,,414.5,transfer,none
537827,USD,1,9,,629.2978723,transfer,none
537831,USD,1,9,,565.2340426,transfer,none
538042,USD,1,9,,301.4574468,transfer,none
